Batch Size, CPU Time (ms),GPU Time (ms)
1,2.48,2.67
2,2.81,2.67
3,3.33,2.66
4,3.73,2.74
5,4.20,2.66
6,4.58,2.66
7,5.13,2.71
8,5.49,2.71
10,6.55,2.71
12,7.19,2.71
14,7.89,2.71
16,8.68,2.71
20,10.45,2.71
24,11.78,2.71
28,13.41,2.87
32,15.11,2.86
40,18.43,2.86
48,21.65,2.86
56,24.95,2.85
64,30.34,2.86
80,38.04,2.86
94,,2.87
95,,2.87
96,45.33,2.87
97,,2.67
98,,2.67
99,,2.67
112,51.79,2.67
128,59.51,2.67
160,,2.67
168,,2.67
176,,2.92
192,,3.02
198,,3.06
224,,3.24
256,126.30,3.80
512,,6.83
1024,,13.29
